Date,Location,LocationID,Parameter,Units,Value
1/13/2015 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
1/13/2015 12:00,Shuswap_Well,SW,E. coli,cfu,<1
1/28/2015 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,1.31
1/28/2015 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
1/28/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.1
1/28/2015 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,1.31
1/28/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,1.41
1/28/2015 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
1/28/2015 12:00,Shuswap_Well,SW,E. coli,cfu,<1
2/24/2015 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,1.07
2/24/2015 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
2/24/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.12
2/24/2015 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,1.07
2/24/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,1.19
2/24/2015 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
2/24/2015 12:00,Shuswap_Well,SW,E. coli,cfu,<1
3/24/2015 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,0.685
3/24/2015 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
3/24/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.1
3/24/2015 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,0.685
3/24/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.782
3/24/2015 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
3/24/2015 12:00,Shuswap_Well,SW,E. coli,cfu,<1
3/24/2015 12:00,Shuswap_Well,SW,"Carbon, Total Organic",mg/L,1.6
4/28/2015 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,0.405
4/28/2015 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
4/28/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.16
4/28/2015 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,0.405
4/28/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.561
4/28/2015 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
4/28/2015 12:00,Shuswap_Well,SW,E. coli,cfu,<1
5/26/2015 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,0.295
5/26/2015 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
5/26/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.14
5/26/2015 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,0.295
5/26/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.431
5/26/2015 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
5/26/2015 12:00,Shuswap_Well,SW,E. coli,cfu,<1
6/23/2015 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,0.215
6/23/2015 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
6/23/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,<0.05
6/23/2015 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,0.215
6/23/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.215
6/23/2015 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
6/23/2015 12:00,Shuswap_Well,SW,E. coli,cfu,<1
6/30/2015 12:00,Shuswap_Well,SW,"Carbon, Total Organic",mg/l,1.1
7/28/2015 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,0.256
7/28/2015 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
7/28/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,<0.05
7/28/2015 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,0.256
7/28/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.256
7/28/2015 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
7/28/2015 12:00,Shuswap_Well,SW,E. coli,cfu,<1
8/25/2015 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,0.463
8/25/2015 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
8/25/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,<0.05
8/25/2015 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,0.463
8/25/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.463
8/25/2015 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
8/25/2015 12:00,Shuswap_Well,SW,E. coli,cfu,<1
9/22/2015 12:00,Shuswap_Well,SW,Nitrate as N,mg/L,0.305
9/22/2015 12:00,Shuswap_Well,SW,Nitrite as N,mg/L,<0.010
9/22/2015 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.06
9/22/2015 12:00,Shuswap_Well,SW,Nitrate+Nitrite as N,mg/L,0.305
